group_id,member_count,project,destination_dirs,status,reason,python_import_edges,direct_filename_reference_edges,members
22,3,pmpd,scripts\pmpd\9h,HOLD,canonical/frozen/provenance-sensitive member; direct filename-reference edges=2,0,2,join_and_audit_frozen_9h_outcomes.py | patch_outcome_join_ambiguous_same_bar.py | patch_outcome_join_prefer_canonical_label.py
23,2,pmpd,scripts\pmpd\9k,HOLD,direct filename-reference edges=1,0,1,patch_9k_discovery_bool_cast.py | run_9k_classifier_discovery_v1.py
24,2,pmpd,scripts\pmpd\9j | scripts\pmpd\legacy,HOLD,members map to different destination directories; direct filename-reference edges=1,0,1,patch_discovery_stage1_restrict_features.py | run_9j_vwap_v2_discovery_stage1.py
25,4,pmpd,scripts\pmpd\9j,HOLD,direct filename-reference edges=3,0,3,patch_validation_robustness_block_repair_v3.py | patch_validation_robustness_corr_scope_v2.py | patch_validation_robustness_no_scipy.py | summarize_9j_validation_robustness.py
26,1,second1m,scripts\second1m\a37_a56,HOLD,canonical/frozen/provenance-sensitive member,0,0,research_a42_discovery_frozen_quintile_screen_v1.py
27,1,second1m,scripts\second1m\a37_a56,HOLD,canonical/frozen/provenance-sensitive member,0,0,research_a43_discovery_frozen_quintile_screen_v1.py
28,1,second1m,scripts\second1m\a37_a56,HOLD,canonical/frozen/provenance-sensitive member,0,0,research_a44_discovery_frozen_quintile_screen_v1.py
29,1,second1m,scripts\second1m\a37_a56,HOLD,canonical/frozen/provenance-sensitive member,0,0,research_a47_discovery_frozen_confluence_quintile_screen_v1.py
30,1,second1m,scripts\second1m\a37_a56,HOLD,canonical/frozen/provenance-sensitive member,0,0,research_a49_discovery_frozen_opening_liquidity_quintile_screen_v1.py
31,1,second1m,scripts\second1m\ae2,HOLD,canonical/frozen/provenance-sensitive member,0,0,research_second1m_ae2_candidate_models_v1.py
32,1,second1m,scripts\second1m\ae2,HOLD,canonical/frozen/provenance-sensitive member,0,0,research_second1m_ae2_final_temporal_audit_v1.py
33,1,pmpd,scripts\pmpd\9j,HOLD,canonical/frozen/provenance-sensitive member,0,0,run_9j_vwap_v2_frozen_validation.py
34,1,pmpd,scripts\pmpd\9k,HOLD,canonical/frozen/provenance-sensitive member,0,0,run_9k_frozen_ablation_v1.py
35,1,pmpd,scripts\pmpd\9k,HOLD,canonical/frozen/provenance-sensitive member,0,0,run_9k_frozen_validation_v1.py
36,1,pmpd,scripts\pmpd\9m,HOLD,canonical/frozen/provenance-sensitive member,0,0,run_9m_frozen_oos_evaluation_v1.py
37,1,market_data,scripts\market_data\utilities,SAFE_GROUP_MOVE,,0,0,run_controlled_batch.py
