factor_code,family,factor_name,description,priority,target_phase,status,timing_type,data_type,data_available
V5S05,S_EVENT_STRUCTURE,Second-to-full-stack clear elapsed time,Elapsed time between second clear and first full-stack trade.,1,9H,not_tested,decision_point_or_event,mixed,False
V5S06,S_EVENT_STRUCTURE,Contact-to-full-stack elapsed time,Elapsed time from first hard contact to first full-stack trade.,1,9H,not_tested,decision_point_or_event,mixed,False
V5S07,S_EVENT_STRUCTURE,Traded-beyond vector,Three-bit PM/AH/PD vector indicating levels penetrated intrabar.,1,9H,not_tested,decision_point_or_event,mixed,True
V5S08,S_EVENT_STRUCTURE,Completed-bar retention vector,Three-bit PM/AH/PD vector retained beyond on completed bar.,1,9H,not_tested,decision_point_or_event,mixed,True
V5S09,S_EVENT_STRUCTURE,Traded-versus-retained disagreement,Difference between traded-beyond and completed-bar retention vectors.,1,9H,not_tested,decision_point_or_event,mixed,True
V5S10,S_EVENT_STRUCTURE,Immediate full-stack retention,Whether first full-stack trade is retained beyond all three levels on the completed bar.,1,9H,not_tested,decision_point_or_event,mixed,False
V5S11,S_EVENT_STRUCTURE,Parent-event attempt count,Number of directional attempts within the parent encounter.,1,9H,not_tested,decision_point_or_event,mixed,True
V5S12,S_EVENT_STRUCTURE,Attempt number at decision point,Attempt ordinal when a candidate decision point occurs.,1,9H,not_tested,decision_point_or_event,mixed,True
V5S13,S_EVENT_STRUCTURE,Directional recross count,Count of repeated cross/recross transitions through stack levels.,2,9H,not_tested,decision_point_or_event,mixed,False
V5S14,S_EVENT_STRUCTURE,Structural progression path signature,Ordered transition signature from contact through clears/losses/reclaims.,2,9H,not_tested,decision_point_or_event,mixed,False
V5R01,R_FAILURE_RECLAIM,Partial loss after retention,Whether a retained multi-level structure subsequently loses one or more retained levels.,1,9H,not_tested,decision_point_or_event,mixed,True
V5R02,R_FAILURE_RECLAIM,Full loss after retention,Whether retained structure subsequently loses all directional levels.,1,9H,not_tested,decision_point_or_event,mixed,True
V5R03,R_FAILURE_RECLAIM,Partial reclaim after loss,Whether lost structure subsequently reclaims some but not all directional levels.,1,9H,not_tested,decision_point_or_event,mixed,True
V5R04,R_FAILURE_RECLAIM,Full reclaim after loss,Whether lost structure subsequently reclaims all directional levels.,1,9H,not_tested,decision_point_or_event,mixed,True
V5R05,R_FAILURE_RECLAIM,Retention-to-loss elapsed time,Elapsed time from retained structure to first partial/full loss.,1,9H,not_tested,decision_point_or_event,mixed,False
V5R06,R_FAILURE_RECLAIM,Loss-to-reclaim elapsed time,Elapsed time from loss state to partial/full reclaim.,1,9H,not_tested,decision_point_or_event,mixed,False
V5R07,R_FAILURE_RECLAIM,Reclaim count,Count of reclaim transitions within parent event.,1,9H,not_tested,decision_point_or_event,mixed,True
V5R08,R_FAILURE_RECLAIM,Failure-warning persistence,Duration/transition count spent in deteriorated or loss states before recovery or termination.,2,9H,not_tested,decision_point_or_event,mixed,False
V5T01,T_TIMING_VELOCITY,Minutes from RTH open to first contact,Elapsed RTH minutes before directional stack encounter begins.,1,9H,not_tested,decision_point_or_event,mixed,False
V5T02,T_TIMING_VELOCITY,Decision-point time of day,Timestamp/minutes since RTH open for each candidate decision point.,1,9H,not_tested,decision_point_or_event,mixed,True
V5T03,T_TIMING_VELOCITY,Level-crossing velocity,Directional price/time velocity across successive stack levels.,1,9H,not_tested,decision_point_or_event,mixed,False
V5T04,T_TIMING_VELOCITY,Bars between structural transitions,Completed 1-minute bars between consecutive state transitions.,1,9H,not_tested,decision_point_or_event,mixed,False
